WorkshopDescriptionId,WorkshopId,FestivalId,Name,Difficulty,Capacity,PriorKnowledgeNeeded,Duration
1,1,473,Wireless Security Camera,intermediate,27,true,4
2,2,375,Almond Butter Cookies,beginner,82,false,12
4,3,417,Patterned Knit Scarf,advanced,67,false,12
3,4,223,Pet Carrier,beginner,56,false,3
2,5,408,Pepperoni Pizza Rolls,intermediate,19,true,4
6,6,995,Crew Neck Sweater,beginner,91,false,3
5,7,425,Deep Tissue Massage Gun,advanced,37,false,3
5,8,796,Fitness Activity Journal,intermediate,60,false,22
1,9,197,Green Smoothie Mix,advanced,42,true,4
2,10,599,Coconut Curry Sauce,advanced,36,false,1.5
2,11,856,Beef Enchilada Casserole,beginner,34,true,3
3,12,420,Outdoor Picnic Blanket,intermediate,64,false,3
5,13,964,Zesty Garlic Hummus,beginner,1,true,1.5
5,14,288,Stuffed Grape Leaves,advanced,81,true,4
2,15,256,Hydration Backpack,beginner,12,true,3
4,16,446,Silicone Stretch Lids,intermediate,34,false,1.5
1,17,982,Marinara Parmesan Baked Ziti,advanced,66,false,1.5
2,18,293,Italian Sausage and Peppers,intermediate,65,false,3
4,19,672,Sports Water Bottle with Infuser,intermediate,56,true,3
3,20,151,LED Flashing Pet Collar,beginner,73,false,3
5,21,781,Portable Electric Fan,advanced,89,false,3
5,22,78,Chili Con Carne Mix,intermediate,19,false,11
3,23,440,Vanilla Almond Granola,beginner,86,true,3
2,24,643,Honey Butter Popcorn,intermediate,27,true,3
4,25,723,Car Sunshade,intermediate,52,true,3
6,26,827,Frozen Mixed Vegetables,advanced,99,false,4
3,27,581,Creamy Garlic Mashed Potatoes,intermediate,1,true,3
5,28,223,Pomegranate Juice,intermediate,62,false,3
6,29,585,Insulated Cooler,beginner,83,false,3
6,30,856,Pasta Maker Machine,beginner,93,true,3
5,31,931,Caribbean Jerk Marinade,intermediate,60,false,3
6,32,402,Organic Green Apples,advanced,100,true,3
6,33,295,Wall Calendar,intermediate,98,true,3
4,34,316,Caramelized Onion Dip Mix,advanced,15,false,4
1,35,958,Butternut Squash Soup,beginner,53,false,3
2,36,472,Printed Maxi Skirt,beginner,71,false,3
3,37,705,Siphon Coffee Maker,intermediate,57,false,3
2,38,375,Cotton Quilted Throw Blanket,intermediate,24,false,3
6,39,728,Chicken Sausage,advanced,99,true,3
1,40,885,Crispy Potato Tots,beginner,49,true,3
2,41,301,DIY Lip Balm Kit,advanced,39,false,1.5
3,42,182,Chocolate Hazelnut Spread,beginner,40,true,1.5
2,43,193,Baked Falafel,beginner,24,true,4
5,44,237,Digital Photo Frame,beginner,73,true,3
1,45,683,Kids' Outdoor Explorer Kit,advanced,76,false,3
5,46,339,Customizable Wall Calendar,beginner,29,true,1.5
2,47,662,Sketchbook,beginner,60,true,3
2,48,318,Stylish Wide-Leg Trousers,advanced,32,true,3
1,49,434,Chipotle Seasoning Blend,beginner,55,true,4
1,50,102,Buffalo Sauce,advanced,55,false,1.5
6,51,966,Board Game,beginner,58,true,3
1,52,901,Set of Silicone Baking Molds,beginner,29,true,1.5
1,53,980,Fitness Tracker,intermediate,72,true,1.5
3,54,910,Almond Flour Pancake Mix,intermediate,21,false,4
2,55,812,Pita Bread,intermediate,9,false,4
4,56,647,Natural Peanut Butter,beginner,10,false,3
3,57,861,Roasted Red Pepper Sauce,advanced,46,true,3
2,58,971,Adjustable Dumbbells,intermediate,43,true,3
6,59,639,Electric Egg Cooker,beginner,80,false,5
3,60,580,Graphic Hoodie,beginner,33,false,1.5
3,61,303,Cotton Sweatpants,intermediate,16,true,4
2,62,385,Mediterranean Chickpea Salad,beginner,9,false,3
4,63,233,Comfy Slippers,intermediate,56,true,3
3,64,6,Classic Caesar Salad Kit,beginner,4,true,3
2,65,712,Frozen Burritos,advanced,64,false,5
4,66,75,Chicken Fajita Kit,beginner,66,true,3
6,67,961,Honey Butter Popcorn,beginner,95,false,4
2,68,539,Knitted Infinity Scarf,beginner,19,true,3
3,69,185,Elegant Lace Dress,beginner,95,false,3
5,70,757,Body Pillow Case,beginner,23,true,3
6,71,337,Digital Camera,intermediate,94,false,6
4,72,997,V-Neck Sweater,advanced,82,true,3
1,73,640,Bluetooth Headphones,advanced,39,true,4
3,74,981,Cabbage,advanced,19,false,3
2,75,608,Organic Quinoa,intermediate,7,false,3
2,76,915,Handmade Leather Journal,beginner,44,false,3
2,77,78,Beef Chili,intermediate,54,true,3
4,78,263,Electric Heating Pad,advanced,84,true,5
6,79,339,Travel Pillow,advanced,95,true,3
5,80,584,Survival Gear Kit,intermediate,100,true,12
2,81,368,Cinnamon Sugar Tortilla Chips,intermediate,27,true,3
1,82,201,Pineapple Coconut Bars,intermediate,13,false,3
4,83,776,Casual Long Cardigan,beginner,81,true,12
4,84,1000,Classic Cheesecake Mix,beginner,91,false,1.5
6,85,944,Personal Blender with Cups,beginner,77,false,1.5
1,86,133,Thai Red Curry Paste,advanced,63,true,13
1,87,739,LED Strip Light Kit,intermediate,82,true,1.5
2,88,896,Hibiscus Tea Bags,advanced,64,false,5
6,89,579,Pet Grooming Glove,intermediate,92,true,1.5
3,90,173,Pumpkin Spice Coffee,intermediate,4,false,1.5
3,91,315,Cream Cheese,advanced,84,true,3
5,92,864,Freestanding Wine Rack,advanced,66,true,3
4,93,17,Eco-Friendly Yoga Blocks,advanced,52,true,1.5
2,94,267,Butternut Squash Ravioli,advanced,92,true,3
3,95,198,Gluten-Free Pancake Mix,intermediate,58,false,1.5
5,96,192,Pet Water Fountain,beginner,42,true,1.5
1,97,372,Sea Salt Caramel Brownie,beginner,90,true,1.5
6,98,715,Air Fryer,beginner,38,true,3
5,99,795,Electric Hot Water Dispenser,beginner,17,true,3
6,100,633,Board Game Storage,intermediate,62,false,3
1,101,123,Digital Food Thermometer,intermediate,42,true,1.5
3,102,185,Organic Almonds,beginner,46,false,4
6,103,334,Vegetable Stir-Fry Sauce,advanced,38,true,3
4,104,75,Whole Wheat Bread,beginner,54,false,1.5
1,105,384,High-Quality Yoga Mat,intermediate,44,false,4
4,106,760,Interactive Robot Toy,intermediate,77,false,3
2,107,820,Sriracha Honey Glaze,beginner,1,true,3
1,108,884,Almond Joy Munch Bars,advanced,90,false,3
3,109,267,Smartphone Photography Ring Light,intermediate,16,false,1.5
3,110,384,Egg Noodles,intermediate,14,false,3
2,111,545,Multicolored LED Strip Lights,beginner,28,false,1.5
6,112,717,Asian Stir-Fry Vegetables,intermediate,37,false,5
2,113,176,Fresh Basil,intermediate,16,true,3
3,114,101,Honey Garlic Chicken,advanced,66,false,3
5,115,619,Radish Chips,advanced,13,false,14.5
3,116,632,Chocolate Protein Powder,intermediate,64,false,3
6,117,686,Honey Garlic Shrimp,advanced,12,false,1.5
2,118,328,Casual Cropped Sweater,intermediate,62,true,3
1,119,176,Dishwasher Safe Cutting Board,beginner,63,true,4
1,120,190,Homestyle Beef Stew,advanced,63,false,5
1,121,712,LED Flashlight with Rechargeable Batteries,beginner,88,false,5
6,122,117,Ice Cream Scoop,beginner,28,false,3
2,123,311,Computer Monitor Stand,beginner,88,true,3
1,124,426,Tropical Fruit Bowl,beginner,27,false,3
2,125,461,Warm Wool Sweater,advanced,19,true,5
3,126,956,Sweet and Spicy Barbecue Sauce,beginner,88,true,12
3,127,62,Sun Protection Clothing,advanced,48,false,3
4,128,921,Smartphone Tripod with Bluetooth Remote,intermediate,13,true,3
2,129,704,Coconut Lime Rice,advanced,8,false,3
2,130,611,Californian Raisins,beginner,15,true,3
4,131,931,Compact Digital Camera,advanced,39,true,14
2,132,918,Organic Granola,advanced,82,true,2.5
3,133,882,Noise Cancelling Ear Muffs,beginner,90,false,3
1,134,280,Canvas High-Top Sneakers,beginner,45,false,3
5,135,86,Portable Pet Bathing Tool,intermediate,29,false,3
4,136,295,Maple Pecan Pancake Mix,advanced,4,false,3
5,137,380,Essential Oil Roller Bottles,advanced,64,true,3
6,138,10,Chino Shorts,advanced,35,true,3
4,139,969,Kids' Trampoline,intermediate,81,false,3
3,140,598,Mesh Sports Leggings,advanced,89,false,13
4,141,288,Adjustable Pet Grooming Table,intermediate,47,false,2.5
1,142,355,Pomegranate Juice,intermediate,13,true,15
6,143,419,Board Game Storage,beginner,100,false,3
4,144,205,Car Trash Can,advanced,89,true,4
2,145,925,Ground Turkey,intermediate,42,true,4
2,146,846,DIY Lip Balm Kit,beginner,21,true,4
2,147,384,Kitchen Scale,advanced,62,true,5
3,148,267,Portable Solar Camp Shower,intermediate,13,true,3
5,149,842,Bamboo Utensil Holder,beginner,19,false,3
6,150,723,Flavored Popcorn Mix,beginner,79,false,10
3,151,742,Board Game Storage,beginner,49,false,3
6,152,672,Frozen Edamame,intermediate,16,false,3
